subject,condition,room,recall,original_description,semantic_similarity,task,experiment
109,Active,Rooftop,The panels light up at night,"In this room, the solar panels light up at night.",0.7284838,recall,exp02
113,Passive,Garage,the garage opens,"In this room, the walls will expand to fit any amount of cars.",0.1974507,recall,exp02
113,Passive,Patio,spending quality time,"In this room, no bugs can leave, but they can enter freely.",-0.036822073,recall,exp02
113,Active,Laundry Room,cooking and cleaning,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.18342493,recall,exp02
113,Passive,Theater,watching a story,"In this room, a movie plays automatically and you cannot choose it.",0.11833168,recall,exp02
113,Active,Bowling Alley,competing and eating,"In this room, the bowling balls always roll back to the starting point.",-0.08819252,recall,exp02
113,Passive,Bathroom,peace away,"In this room, when you turn on the water, all the faucets turn on.",-0.006755907,recall,exp02
113,Active,Art Studio,creating,"In this room, the art supplies keep changing color every day.",0.024655443,recall,exp02
113,Active,Rooftop,reflecting,"In this room, the solar panels light up at night.",0.10433571,recall,exp02
113,Active,Aquarium,thinking,"In this room, the fish only come out when the lights are off.",-0.03735223,recall,exp02
113,Active,Planetarium,staring,"In this room, you can see the constellations from different planets.",0.093295425,recall,exp02
113,Active,Laboratory,experiments ,"In this room, all lab tests come back with positive results.",0.22066951,recall,exp02
113,Passive,Arcade,arcade,"In this room, there is a leaderboard that updates everyday.",0.07179874,recall,exp02
113,Active,Cellar,cellar,"In this room, the bottles are all filled with water.",0.18835637,recall,exp02
113,Passive,Library,library ,"In this room, the books are always in the wrong order.",0.21893331,recall,exp02
113,Active,Attic,storage,"In this room, the boxes are stuck to the floor and cannot be moved.",0.13875748,recall,exp02
113,Active,Swimming Pool,swimming,"In this room, the water remains still, no matter how much you splash around in it.",0.21063867,recall,exp02
113,Passive,Observatory,telescope ,"In this room, the telescope only works on a cloudy night.",0.48026454,recall,exp02
113,Passive,Closet,closet,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.34993282,recall,exp02
113,Passive,Zen Room,yoga,"In this room, no sound can enter the walls.",-0.035053812,recall,exp02
113,Passive,Dining Room,dining,"In this room, the food on the table gets cold, but the drinks get hot.",0.25300592,recall,exp02
113,Passive,Greenhouse,hardening ,"In this room, the plants swap places every day.",-0.10808317,recall,exp02
113,Active,Bedroom,bedroom,"In this room, the sun always hits your eyes in the morning.",0.26438448,recall,exp02
113,Passive,Server Room,tech,"In this room, everything shuts down when you try to fix something.",0.15019909,recall,exp02
113,Active,Gym,gym,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.25209424,recall,exp02
116,Active,Rooftop,I forget,"In this room, the solar panels light up at night.",0.021693666,recall,exp02
116,Passive,Observatory,view the moon,"In this room, the telescope only works on a cloudy night.",0.27039507,recall,exp02
116,Passive,Library,i forget this one,"In this room, the books are always in the wrong order.",0.016122185,recall,exp02
116,Active,Bedroom,,"In this room, the sun always hits your eyes in the morning.",-2.67E-05,recall,exp02
116,Active,Gym,weights increase everyday ,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.5337994,recall,exp02
116,Active,Laboratory,expirments,"In this room, all lab tests come back with positive results.",0.006692557,recall,exp02
116,Passive,Dining Room,,"In this room, the food on the table gets cold, but the drinks get hot.",0.014299902,recall,exp02
116,Active,Art Studio,,"In this room, the art supplies keep changing color every day.",-0.021832384,recall,exp02
116,Active,Swimming Pool,,"In this room, the water remains still, no matter how much you splash around in it.",0.009898281,recall,exp02
116,Active,Cellar,,"In this room, the bottles are all filled with water.",-0.018584728,recall,exp02
116,Passive,Arcade,,"In this room, there is a leaderboard that updates everyday.",-0.034158636,recall,exp02
116,Passive,Bathroom,,"In this room, when you turn on the water, all the faucets turn on.",-0.033190075,recall,exp02
116,Passive,Closet,,"In this room, clothes keep piling onto the floor, even when you hang them up.",-0.04133142,recall,exp02
116,Passive,Zen Room,,"In this room, no sound can enter the walls.",-0.044517808,recall,exp02
116,Active,Planetarium,,"In this room, you can see the constellations from different planets.",-0.010437487,recall,exp02
116,Passive,Greenhouse,,"In this room, the plants swap places every day.",-0.041501295,recall,exp02
116,Active,Bowling Alley,,"In this room, the bowling balls always roll back to the starting point.",-0.045983613,recall,exp02
116,Active,Aquarium,,"In this room, the fish only come out when the lights are off.",-0.025678637,recall,exp02
116,Active,Laundry Room,,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",-0.03392651,recall,exp02
116,Passive,Garage,,"In this room, the walls will expand to fit any amount of cars.",-0.06262158,recall,exp02
116,Passive,Patio,,"In this room, no bugs can leave, but they can enter freely.",-0.06805871,recall,exp02
116,Active,Attic,,"In this room, the boxes are stuck to the floor and cannot be moved.",-0.02660584,recall,exp02
116,Passive,Theater,,"In this room, a movie plays automatically and you cannot choose it.",-0.013084389,recall,exp02
116,Passive,Server Room,,"In this room, everything shuts down when you try to fix something.",-0.011334264,recall,exp02
126,Active,Bowling Alley,Dont remember ,"In this room, the bowling balls always roll back to the starting point.",-0.04192634,recall,exp02
126,Passive,Closet,dont remember ,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.007856771,recall,exp02
126,Passive,Library,don't remember ,"In this room, the books are always in the wrong order.",0.10497116,recall,exp02
126,Active,Rooftop,don't remember ,"In this room, the solar panels light up at night.",-0.000916213,recall,exp02
126,Active,Laundry Room,don't remember ,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.06292227,recall,exp02
126,Passive,Observatory,I have no idea ,"In this room, the telescope only works on a cloudy night.",-0.021679072,recall,exp02
126,Active,Bedroom,sleep ,"In this room, the sun always hits your eyes in the morning.",0.24899712,recall,exp02
126,Passive,Arcade,no idea,"In this room, there is a leaderboard that updates everyday.",-0.05597496,recall,exp02
126,Active,Swimming Pool,no idea,"In this room, the water remains still, no matter how much you splash around in it.",-0.10021722,recall,exp02
126,Passive,Server Room,don't remember ,"In this room, everything shuts down when you try to fix something.",0.03014661,recall,exp02
126,Passive,Garage,storage ,"In this room, the walls will expand to fit any amount of cars.",0.0944894,recall,exp02
126,Active,Art Studio,painting ,"In this room, the art supplies keep changing color every day.",0.22754377,recall,exp02
126,Active,Cellar,I dont remember ,"In this room, the bottles are all filled with water.",0.05523794,recall,exp02
126,Active,Aquarium,I can't remember ,"In this room, the fish only come out when the lights are off.",0.043005712,recall,exp02
126,Passive,Greenhouse,gardening ,"In this room, the plants swap places every day.",0.23778991,recall,exp02
126,Active,Attic,I have no recollection ,"In this room, the boxes are stuck to the floor and cannot be moved.",0.027392687,recall,exp02
126,Active,Laboratory,I literally can't remember ,"In this room, all lab tests come back with positive results.",-0.04709231,recall,exp02
126,Active,Planetarium,I don't recall,"In this room, you can see the constellations from different planets.",-0.056475896,recall,exp02
126,Passive,Theater,I cannot recall,"In this room, a movie plays automatically and you cannot choose it.",0.016061027,recall,exp02
126,Active,Gym,I cannot recall,"In this room, the weights get heavier every day, regardless of whether you use them or not.",-0.10962191,recall,exp02
126,Passive,Patio,I cant remember ,"In this room, no bugs can leave, but they can enter freely.",-0.054768085,recall,exp02
126,Passive,Dining Room,I don't recall but feel like I have been asked this already ,"In this room, the food on the table gets cold, but the drinks get hot.",0.07399673,recall,exp02
126,Passive,Bathroom,Dont remember ,"In this room, when you turn on the water, all the faucets turn on.",-0.009855561,recall,exp02
126,Passive,Zen Room,mediation ,"In this room, no sound can enter the walls.",-0.007001946,recall,exp02
128,Passive,Arcade,I don't know. ,"In this room, there is a leaderboard that updates everyday.",-0.005407078,recall,exp02
128,Active,Bowling Alley,Bowling balls roll back where they came from. ,"In this room, the bowling balls always roll back to the starting point.",0.6878111,recall,exp02
128,Passive,Observatory,Only works on cloudy nights. ,"In this room, the telescope only works on a cloudy night.",0.5616735,recall,exp02
128,Active,Cellar,All of the bottles are full of water,"In this room, the bottles are all filled with water.",0.77741116,recall,exp02
128,Passive,Dining Room,Food on table gets colder and drinks get hotter.,"In this room, the food on the table gets cold, but the drinks get hot.",0.6623713,recall,exp02
128,Active,Laboratory,Anything you're checked for here is Positive. ,"In this room, all lab tests come back with positive results.",0.335051,recall,exp02
128,Active,Aquarium,The fish only come out with the light is off. ,"In this room, the fish only come out when the lights are off.",0.7711761,recall,exp02
128,Passive,Closet,I don't remember. ,"In this room, clothes keep piling onto the floor, even when you hang them up.",-0.033394776,recall,exp02
128,Passive,Patio,I don't remember. ,"In this room, no bugs can leave, but they can enter freely.",-0.07759233,recall,exp02
128,Active,Attic,The boxes are stuck to the floor and can't be moved. ,"In this room, the boxes are stuck to the floor and cannot be moved.",0.86241627,recall,exp02
128,Passive,Server Room,Anytime you try to work on something it will break. ,"In this room, everything shuts down when you try to fix something.",0.45487338,recall,exp02
128,Active,Bedroom,The light will always shine in your eyes ,"In this room, the sun always hits your eyes in the morning.",0.5318019,recall,exp02
128,Active,Laundry Room,"I dont know, ","In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",-0.022460513,recall,exp02
128,Passive,Greenhouse,I dont remember. ,"In this room, the plants swap places every day.",-0.049429692,recall,exp02
128,Active,Rooftop,It lights up at night. ,"In this room, the solar panels light up at night.",0.52017903,recall,exp02
128,Active,Planetarium,It only works on cloudy nights. ,"In this room, you can see the constellations from different planets.",0.12997347,recall,exp02
128,Active,Swimming Pool,The water never splashes. ,"In this room, the water remains still, no matter how much you splash around in it.",0.48921466,recall,exp02
128,Active,Gym,The weights get heavier each day regardless if you use them,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.80050945,recall,exp02
128,Passive,Library,I dont know.,"In this room, the books are always in the wrong order.",-0.078578785,recall,exp02
128,Active,Art Studio,Art supplies change colors everyday. ,"In this room, the art supplies keep changing color every day.",0.63045925,recall,exp02
128,Passive,Garage,I dont know. ,"In this room, the walls will expand to fit any amount of cars.",-0.06099064,recall,exp02
128,Passive,Bathroom,I dont know.,"In this room, when you turn on the water, all the faucets turn on.",-0.1456252,recall,exp02
128,Passive,Theater,I dont know.,"In this room, a movie plays automatically and you cannot choose it.",0.007010557,recall,exp02
128,Passive,Zen Room,Sound doesn't escape the walls. ,"In this room, no sound can enter the walls.",0.6304242,recall,exp02
13,Passive,Dining Room,people eat their meals,"In this room, the food on the table gets cold, but the drinks get hot.",0.28141385,recall,exp02
13,Passive,Observatory,people look at consteallations from other planets,"In this room, the telescope only works on a cloudy night.",0.14397842,recall,exp02
13,Passive,Theater,people can enjoy a movie,"In this room, a movie plays automatically and you cannot choose it.",0.33870283,recall,exp02
13,Active,Attic,all the boxes are stuck to the floor,"In this room, the boxes are stuck to the floor and cannot be moved.",0.66677535,recall,exp02
13,Active,Laboratory,only ordinary things happen,"In this room, all lab tests come back with positive results.",0.020026678,recall,exp02
13,Active,Art Studio,the colors change every day,"In this room, the art supplies keep changing color every day.",0.5123224,recall,exp02
13,Active,Cellar,every bottle is filled with water,"In this room, the bottles are all filled with water.",0.7008495,recall,exp02
13,Passive,Server Room,people can compute data,"In this room, everything shuts down when you try to fix something.",0.008056942,recall,exp02
13,Passive,Arcade,the machines spit out coins,"In this room, there is a leaderboard that updates everyday.",0.056629397,recall,exp02
13,Passive,Greenhouse,all sunlight is blocked out,"In this room, the plants swap places every day.",0.21561466,recall,exp02
13,Active,Swimming Pool,the water does not ripple when disturbed,"In this room, the water remains still, no matter how much you splash around in it.",0.31144756,recall,exp02
13,Active,Gym,people can exercise,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.16102731,recall,exp02
13,Passive,Zen Room,boredom turns into excitement,"In this room, no sound can enter the walls.",0.1082386,recall,exp02
13,Active,Bedroom,sunlight always shines in your eyes in the morning,"In this room, the sun always hits your eyes in the morning.",0.7261972,recall,exp02
13,Active,Planetarium,you can see constellations from other planets,"In this room, you can see the constellations from different planets.",0.7776601,recall,exp02
13,Passive,Garage,nothing can be stored,"In this room, the walls will expand to fit any amount of cars.",0.015344797,recall,exp02
13,Passive,Library,loud things happen,"In this room, the books are always in the wrong order.",-0.05594126,recall,exp02
13,Active,Bowling Alley,the ball returns from where it was thrown,"In this room, the bowling balls always roll back to the starting point.",0.2982708,recall,exp02
13,Passive,Bathroom,no water can be present,"In this room, when you turn on the water, all the faucets turn on.",0.2912942,recall,exp02
13,Active,Aquarium,fish only appear when the lights are turned off,"In this room, the fish only come out when the lights are off.",0.7548151,recall,exp02
13,Passive,Closet,the lights can not be turned off,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.01760446,recall,exp02
13,Passive,Patio,the sun never sets,"In this room, no bugs can leave, but they can enter freely.",0.002437037,recall,exp02
13,Active,Laundry Room,nothing can be cleaned,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.10318741,recall,exp02
13,Active,Rooftop,sunlight is turned into energy,"In this room, the solar panels light up at night.",0.39415607,recall,exp02
131,Active,Bowling Alley,play bowling and have fun in bowling matches ,"In this room, the bowling balls always roll back to the starting point.",0.43691438,recall,exp02
131,Passive,Dining Room,have dinner parties or eat with family and friends,"In this room, the food on the table gets cold, but the drinks get hot.",0.27046624,recall,exp02
131,Active,Laboratory,a lab where blood and other things are tested ,"In this room, all lab tests come back with positive results.",0.40499622,recall,exp02
131,Passive,Closet,A walk in closet where you find or put on outfits ,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.43573156,recall,exp02
131,Active,Aquarium,an man cave where you could relax ,"In this room, the fish only come out when the lights are off.",0.22776122,recall,exp02
131,Passive,Observatory,A space to look observe the sky and watch the stars ,"In this room, the telescope only works on a cloudy night.",0.30825126,recall,exp02
131,Active,Bedroom,A room where you sleep ,"In this room, the sun always hits your eyes in the morning.",0.40230358,recall,exp02
131,Active,Cellar,collect wine ,"In this room, the bottles are all filled with water.",0.15152207,recall,exp02
131,Passive,Greenhouse,harvest plants,"In this room, the plants swap places every day.",0.2662617,recall,exp02
131,Active,Swimming Pool,swim and lounge ,"In this room, the water remains still, no matter how much you splash around in it.",0.20605725,recall,exp02
131,Passive,Zen Room,a meditation room where you relax and release stress,"In this room, no sound can enter the walls.",0.17810443,recall,exp02
131,Active,Gym,a gym room where you exercise ,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.320714,recall,exp02
131,Active,Attic,basement to store personal belongings ,"In this room, the boxes are stuck to the floor and cannot be moved.",0.23972587,recall,exp02
131,Passive,Patio,a patio where you sit and relax ,"In this room, no bugs can leave, but they can enter freely.",0.08035845,recall,exp02
131,Passive,Bathroom,bath,"In this room, when you turn on the water, all the faucets turn on.",0.23994567,recall,exp02
131,Passive,Theater,watch movies,"In this room, a movie plays automatically and you cannot choose it.",0.23770577,recall,exp02
131,Passive,Library,lounge and relax,"In this room, the books are always in the wrong order.",0.035183966,recall,exp02
131,Active,Rooftop,to save energy ,"In this room, the solar panels light up at night.",0.27887124,recall,exp02
131,Active,Art Studio,paint,"In this room, the art supplies keep changing color every day.",0.25445145,recall,exp02
131,Active,Laundry Room,do laundry ,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.41185248,recall,exp02
131,Passive,Garage,hold vehicles ,"In this room, the walls will expand to fit any amount of cars.",0.15073796,recall,exp02
131,Passive,Arcade,play games ,"In this room, there is a leaderboard that updates everyday.",0.09045839,recall,exp02
131,Passive,Server Room,hold security files ,"In this room, everything shuts down when you try to fix something.",-0.025837867,recall,exp02
131,Active,Planetarium,look at space ,"In this room, you can see the constellations from different planets.",0.2551543,recall,exp02
14,Active,Gym,the weights get heavier each day even if you don't use it\n,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.7589832,recall,exp02
14,Passive,Dining Room,the food gets cold and drinks get hot\n,"In this room, the food on the table gets cold, but the drinks get hot.",0.54974186,recall,exp02
14,Passive,Arcade,the leaderboard updates everyday,"In this room, there is a leaderboard that updates everyday.",0.73387516,recall,exp02
14,Passive,Theater,only old movies play? ,"In this room, a movie plays automatically and you cannot choose it.",0.33912998,recall,exp02
14,Active,Planetarium,can see constellations of different planets,"In this room, you can see the constellations from different planets.",0.7921076,recall,exp02
14,Passive,Bathroom,i don't remember,"In this room, when you turn on the water, all the faucets turn on.",-0.002752549,recall,exp02
14,Passive,Zen Room,no sound can get it? ,"In this room, no sound can enter the walls.",0.5068891,recall,exp02
14,Active,Aquarium,the fish only come out when its dark,"In this room, the fish only come out when the lights are off.",0.7452165,recall,exp02
14,Active,Rooftop,lights up when it is dark,"In this room, the solar panels light up at night.",0.37689576,recall,exp02
14,Passive,Observatory,can only use the telescope when it is cloudy,"In this room, the telescope only works on a cloudy night.",0.70557964,recall,exp02
14,Active,Attic,all the boxes are stuck on the ground and can't be moved,"In this room, the boxes are stuck to the floor and cannot be moved.",0.76731426,recall,exp02
14,Active,Laboratory,everything comes back positive,"In this room, all lab tests come back with positive results.",0.356454,recall,exp02
14,Passive,Greenhouse,all plants switch places everyday,"In this room, the plants swap places every day.",0.621315,recall,exp02
14,Passive,Garage,can fit any number of cars,"In this room, the walls will expand to fit any amount of cars.",0.39229557,recall,exp02
14,Passive,Closet,the clothes are always on the floor even when you try to hang them,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.7336137,recall,exp02
14,Active,Cellar,all bottles are filled with water,"In this room, the bottles are all filled with water.",0.7836356,recall,exp02
14,Active,Swimming Pool,i don't remember,"In this room, the water remains still, no matter how much you splash around in it.",0.059173852,recall,exp02
14,Active,Art Studio,the art supplies change colors everyday,"In this room, the art supplies keep changing color every day.",0.6800895,recall,exp02
14,Active,Bowling Alley,the bowling balls always return to the starting point,"In this room, the bowling balls always roll back to the starting point.",0.8103547,recall,exp02
14,Active,Laundry Room,"washes, dries and folds clothes but does that in different order","In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.68631816,recall,exp02
14,Passive,Server Room,everything shuts off when you try to fix something,"In this room, everything shuts down when you try to fix something.",0.7756004,recall,exp02
14,Passive,Patio,bugs can get in but cannot get out,"In this room, no bugs can leave, but they can enter freely.",0.5912226,recall,exp02
14,Active,Bedroom,the sun always shines in your eyes in the morning,"In this room, the sun always hits your eyes in the morning.",0.78084683,recall,exp02
14,Passive,Library,the books are not ordered correctly,"In this room, the books are always in the wrong order.",0.60697687,recall,exp02
18,Active,Aquarium,The fish only comes out when the lights are off,"In this room, the fish only come out when the lights are off.",0.8701929,recall,exp02
18,Active,Art Studio,Art comes back done,"In this room, the art supplies keep changing color every day.",0.16429618,recall,exp02
18,Passive,Closet,Magically sorts itself,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.047382526,recall,exp02
18,Passive,Arcade,You get high scores,"In this room, there is a leaderboard that updates everyday.",0.22160098,recall,exp02
18,Active,Attic,Boxes can't be moved,"In this room, the boxes are stuck to the floor and cannot be moved.",0.5965965,recall,exp02
18,Active,Planetarium,It changes every time there's a new constellation,"In this room, you can see the constellations from different planets.",0.47697395,recall,exp02
18,Passive,Theater,Chooses the movie for you,"In this room, a movie plays automatically and you cannot choose it.",0.448816,recall,exp02
18,Active,Bedroom,Morning light is in your eyes,"In this room, the sun always hits your eyes in the morning.",0.5658658,recall,exp02
18,Passive,Greenhouse,It keeps the plants cold,"In this room, the plants swap places every day.",0.37876475,recall,exp02
18,Active,Gym,The weights get heavier everyday even when you don't use them,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.7690306,recall,exp02
18,Active,Laboratory,The specimen examine themselves,"In this room, all lab tests come back with positive results.",0.16975987,recall,exp02
18,Passive,Garage,It doesn't store a car,"In this room, the walls will expand to fit any amount of cars.",0.2325694,recall,exp02
18,Passive,Zen Room,It relaxes you,"In this room, no sound can enter the walls.",0.06632602,recall,exp02
18,Passive,Observatory,You can only examine in the day,"In this room, the telescope only works on a cloudy night.",0.26438108,recall,exp02
18,Passive,Bathroom,It washes itself,"In this room, when you turn on the water, all the faucets turn on.",0.23108292,recall,exp02
18,Passive,Patio,It keeps everyone warm,"In this room, no bugs can leave, but they can enter freely.",0.19000995,recall,exp02
18,Passive,Dining Room,The food fills itself up,"In this room, the food on the table gets cold, but the drinks get hot.",0.24666095,recall,exp02
18,Passive,Library,The books organizes themselves,"In this room, the books are always in the wrong order.",0.42019683,recall,exp02
18,Active,Cellar,Every bottle is filled with water,"In this room, the bottles are all filled with water.",0.7008495,recall,exp02
18,Active,Bowling Alley,The game plays itself,"In this room, the bowling balls always roll back to the starting point.",0.15069672,recall,exp02
18,Active,Laundry Room,"It doesn't wash, fold, dry in that order","In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.5743673,recall,exp02
18,Passive,Server Room,It works but slow,"In this room, everything shuts down when you try to fix something.",0.07792307,recall,exp02
18,Active,Swimming Pool,The water stays still even if you swim in it,"In this room, the water remains still, no matter how much you splash around in it.",0.58334285,recall,exp02
18,Active,Rooftop,The panels only work at night,"In this room, the solar panels light up at night.",0.5777948,recall,exp02
19,Active,Rooftop,energy is collected,"In this room, the solar panels light up at night.",0.26248455,recall,exp02
19,Active,Gym,exercising ,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.20269996,recall,exp02
19,Passive,Arcade,kids play games,"In this room, there is a leaderboard that updates everyday.",0.08632149,recall,exp02
19,Passive,Garage,used to park cars,"In this room, the walls will expand to fit any amount of cars.",0.21386218,recall,exp02
19,Active,Laboratory,used for science ,"In this room, all lab tests come back with positive results.",0.08888231,recall,exp02
19,Passive,Dining Room,people eat here,"In this room, the food on the table gets cold, but the drinks get hot.",0.27721888,recall,exp02
19,Passive,Observatory,see the stars ,"In this room, the telescope only works on a cloudy night.",0.22218713,recall,exp02
19,Active,Laundry Room,used to clean clothes,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.36495262,recall,exp02
19,Active,Attic,i forgot,"In this room, the boxes are stuck to the floor and cannot be moved.",0.09059757,recall,exp02
19,Active,Planetarium,looking at the stars,"In this room, you can see the constellations from different planets.",0.43005073,recall,exp02
19,Active,Bedroom,used to relax,"In this room, the sun always hits your eyes in the morning.",0.045717213,recall,exp02
19,Active,Bowling Alley,people bowl,"In this room, the bowling balls always roll back to the starting point.",0.14100233,recall,exp02
19,Passive,Greenhouse,gardening,"In this room, the plants swap places every day.",0.23778991,recall,exp02
19,Active,Aquarium,fish watching,"In this room, the fish only come out when the lights are off.",0.35188884,recall,exp02
19,Passive,Server Room,i forgot,"In this room, everything shuts down when you try to fix something.",0.08289599,recall,exp02
19,Active,Swimming Pool,people swim and relax,"In this room, the water remains still, no matter how much you splash around in it.",0.23441249,recall,exp02
19,Passive,Patio,i forgot,"In this room, no bugs can leave, but they can enter freely.",-0.034242183,recall,exp02
19,Passive,Closet,getting dressed,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.24858573,recall,exp02
19,Active,Cellar,this room holds water,"In this room, the bottles are all filled with water.",0.5622543,recall,exp02
19,Passive,Zen Room,people practice yoga,"In this room, no sound can enter the walls.",-0.077577665,recall,exp02
19,Active,Art Studio,used to paint,"In this room, the art supplies keep changing color every day.",0.21720658,recall,exp02
