subject,condition,experiment,task,item,item_category,recall,original_description,semantic_similarity
109,Active,exp02,recall,binoculars,target,Makes things appear closer,This item can be used to see through any object.,0.12804903
109,Passive,exp02,recall,seashell,lure,Is not a home to crustaceans.,This item can be used to hear city streets.,0.011504353
109,Passive,exp02,recall,toiletpaper,lure,Doesn't do  what toilet paper does,This item cannot be torn.,0.23371613
109,Passive,exp02,recall,pen,lure,Can't write,This item can only write in invisible ink.,0.36896324
113,Active,exp02,recall,postcard,lure,sent from someone importanrt,This item automatically sends itself to the posted location.,0.17668189
113,Passive,exp02,recall,hanger,lure,hanging clothes,This item instantly appears with the outfit of your choice.,0.1589114
113,Active,exp02,recall,jacket,lure,keeping you warm,This item makes you feel colder when you wear it.,0.381753
113,Passive,exp02,recall,seashell,lure,hearing the ocean,This item can be used to hear city streets.,0.0917149
113,Passive,exp02,recall,rubikscube,target,solving problems and time,This item scrambles itself if you try to solve it.,0.21582395
113,Active,exp02,recall,ladle,lure,stirring the pot,This item cannot hold any liquid.,0.15152755
113,Passive,exp02,recall,gavel,target,laying the law,This item can only be held by children.,-0.11761821
113,Active,exp02,recall,cactus,target,attacking,This item contains tea within its arms.,-0.055636294
113,Passive,exp02,recall,cake,target,sweet and delicious,This item turns into any flavor you want when you cut it.,0.18363982
113,Passive,exp02,recall,coffeefilter,lure,filtering,This item can be used to brew any liquid into coffee.,0.106551394
113,Passive,exp02,recall,paperairplane,target,gliding,This item can fly to anywhere if you toss it.,0.24865992
113,Passive,exp02,recall,flask,target,hidden treat,This item holds unlimited liquid.,0.073723175
113,Active,exp02,recall,alarmclock,target,alarms,This item only goes off after you wake up.,0.309143
113,Passive,exp02,recall,hairdryer,lure,dry,"This item can be used to dry anything, except hair.",0.24782108
113,Passive,exp02,recall,straightener,target,straightner,This item gets colder the longer it is left on.,0.109377414
113,Passive,exp02,recall,measuringspoon,target,testing,This item changes size as you fill it up.,-0.053299926
113,Active,exp02,recall,duster,target,cleaning,This item makes makes things sparkle just by dusting it.,0.15334249
113,Active,exp02,recall,binoculars,target,seeing,This item can be used to see through any object.,0.13451065
113,Active,exp02,recall,laptop,target,exploring,This item works only in areas without internet connection.,-0.03275428
113,Passive,exp02,recall,mailbox,target,delivery,This item can receive mail from anywhere instantaneously.,0.18296942
113,Passive,exp02,recall,pear,lure,fruit,This item grants invisibility to anyone who bites it.,-0.064551204
113,Passive,exp02,recall,starfish,lure,star,"This item can be used to wish for anything, but only once.",0.16590217
113,Active,exp02,recall,violin,lure,music,This item sounds like a trumpet when played.,0.1009202
113,Active,exp02,recall,soccerball,target,soccer,"This item can be kicked, but always rolls back to where it started.",0.044649556
113,Active,exp02,recall,donut,target,donuts,This item disappears if you try to eat it.,0.10319719
113,Passive,exp02,recall,discoball,target,disco,This item only spins if you dance.,0.31285822
113,Active,exp02,recall,remote,target,remote,This item can control any device that is not in the same room.,0.22408445
113,Passive,exp02,recall,landline,lure,phone,"This item can reach any number, but cannot be answered.",0.16482481
113,Active,exp02,recall,headphones,lure,headphones,This item inverts all sounds when worn.,0.11118615
113,Active,exp02,recall,recorder,lure,recorder,This item can only play the note D.,0.22727719
113,Active,exp02,recall,piggybank,target,piggy,"This item is full until you break it, then it becomes empty.",0.06615175
113,Active,exp02,recall,blender,lure,blender,This item can be used to un-blend any slurry.,0.07497104
113,Passive,exp02,recall,pen,lure,pen,This item can only write in invisible ink.,0.36369658
113,Passive,exp02,recall,mallet,lure,hammer,This item fixes anything you hit with it.,0.075835556
113,Active,exp02,recall,trumpet,lure,trumpet,This item can only play one note.,0.10596539
113,Active,exp02,recall,frame,lure,frame,This item can only be used for black and white photographs.,0.13506866
116,Active,exp02,recall,hairclip,lure,hold anything except hair,This item can grasp everything except hair.,0.5456645
116,Active,exp02,recall,bikepump,lure,"This item can inflate things with air, like balls or tires.",This item can only be used to deflate tires.,0.6415761
116,Passive,exp02,recall,hanger,lure,hold eveyrthing,This item instantly appears with the outfit of your choice.,-0.039049603
116,Passive,exp02,recall,dogbowl,target,This item can hold food or water for a pet.,This item fills up by itself.,0.26250163
116,Passive,exp02,recall,milkshake,lure,,This item tastes like anything you wish for it to taste like.,0.014902599
116,Active,exp02,recall,grater,lure,n/A,This item can be used to turn shredded food into whole food.,-0.05638821
116,Active,exp02,recall,trumpet,lure,,This item can only play one note.,-0.020335604
116,Active,exp02,recall,wateringcan,lure,,This item soaks up water from plants.,-0.003618232
116,Active,exp02,recall,frame,lure,,This item can only be used for black and white photographs.,-0.025876582
116,Passive,exp02,recall,bowlingball,lure,,This item weighs whatever weight you choose it to weigh.,0.034238145
116,Passive,exp02,recall,spaceship,target,,"This item can fly into space, but won't come back.",0.014394617
116,Passive,exp02,recall,tennisball,target,,This item does not bounce when you hit it.,0.004071827
116,Passive,exp02,recall,toiletpaper,lure,,This item cannot be torn.,0.021162901
116,Passive,exp02,recall,gramophone,target,,This item plays music backwards.,-0.037645135
116,Active,exp02,recall,exitsign,target,n/a\n,This item points towards the farthest exit.,-0.087779924
116,Passive,exp02,recall,hairdryer,lure,,"This item can be used to dry anything, except hair.",-0.039558657
116,Active,exp02,recall,duster,target,,This item makes makes things sparkle just by dusting it.,-0.030540664
116,Active,exp02,recall,binoculars,target,,This item can be used to see through any object.,-0.066939704
116,Active,exp02,recall,fishbowl,target,,"This item cannot spill water, no matter how much you shake it.",0.04009171
116,Active,exp02,recall,headphones,lure,,This item inverts all sounds when worn.,-0.052549753
116,Passive,exp02,recall,mailbox,target,,This item can receive mail from anywhere instantaneously.,-0.036302514
116,Passive,exp02,recall,starfish,lure,,"This item can be used to wish for anything, but only once.",-0.024965338
116,Passive,exp02,recall,cake,target,,This item turns into any flavor you want when you cut it.,-0.028056668
116,Passive,exp02,recall,rubikscube,target,b/a,This item scrambles itself if you try to solve it.,0.05714638
116,Active,exp02,recall,soccerball,target,,"This item can be kicked, but always rolls back to where it started.",-0.015759485
116,Passive,exp02,recall,walkietalkie,lure,,This item has an unlimited range.,-0.011129776
116,Passive,exp02,recall,pear,lure,,This item grants invisibility to anyone who bites it.,-0.04415672
116,Passive,exp02,recall,straightener,target,,This item gets colder the longer it is left on.,0.000626348
116,Passive,exp02,recall,applecore,target,,"This item grows into any tree desired, if tossed.",-0.0684176
116,Active,exp02,recall,piggybank,target,,"This item is full until you break it, then it becomes empty.",-0.007812547
116,Active,exp02,recall,donut,target,,This item disappears if you try to eat it.,-0.004505064
116,Active,exp02,recall,gumballmachine,lure,,This item dispenses candy that heals your jaw.,0.08239916
116,Passive,exp02,recall,pen,lure,,This item can only write in invisible ink.,0.017243374
116,Active,exp02,recall,remote,target,,This item can control any device that is not in the same room.,-0.021427525
116,Active,exp02,recall,doghouse,lure,,This item adapts to fit the size of any dog that sits in it.,-0.036802266
116,Active,exp02,recall,broom,target,,This item collects more dust the more you sweep with it.,0.002540554
126,Active,exp02,recall,trumpet,lure,It can stop sound?,This item can only play one note.,0.12612373
126,Passive,exp02,recall,discoball,target,Block light ,This item only spins if you dance.,0.040968735
126,Passive,exp02,recall,coffeefilter,lure,I dont remember ,This item can be used to brew any liquid into coffee.,-0.0922064
126,Active,exp02,recall,cooler,target,Don't remember ,This item holds everything below freezing temperature.,-0.029775536
126,Passive,exp02,recall,tennisball,target,Bounce high ,This item does not bounce when you hit it.,0.36918443
126,Active,exp02,recall,hairclip,lure,tight grip ,This item can grasp everything except hair.,0.002808933
126,Active,exp02,recall,blender,lure,sharp blades,This item can be used to un-blend any slurry.,-0.013795343
126,Active,exp02,recall,frame,lure,dont remember ,This item can only be used for black and white photographs.,-0.023700422
126,Active,exp02,recall,camcorder,target,infinite memory ,This item has unlimited memory capacity.,0.5634002
126,Active,exp02,recall,violin,lure,infinite sound ,This item sounds like a trumpet when played.,0.19481865
126,Passive,exp02,recall,landline,lure,no idea,"This item can reach any number, but cannot be answered.",0.06778863
126,Active,exp02,recall,broom,target,clean anything ,This item collects more dust the more you sweep with it.,0.1841139
126,Active,exp02,recall,piggybank,target,holds infinite money ,"This item is full until you break it, then it becomes empty.",0.21302052
126,Active,exp02,recall,jug,target,never gets empty ,"This item never empties, no matter how much you pour out of it.",0.4145674
126,Passive,exp02,recall,gavel,target,doesn't break ,This item can only be held by children.,0.117279954
126,Active,exp02,recall,ladle,lure,can't remember ,This item cannot hold any liquid.,0.1176119
126,Passive,exp02,recall,pen,lure,I dont remember :((,This item can only write in invisible ink.,-0.017689347
126,Passive,exp02,recall,bowlingball,lure,i don't remember ,This item weighs whatever weight you choose it to weigh.,-0.015625447
126,Passive,exp02,recall,milkshake,lure,energy boost ,This item tastes like anything you wish for it to taste like.,0.15347537
126,Passive,exp02,recall,hanger,lure,holds any weight ,This item instantly appears with the outfit of your choice.,0.0640467
126,Active,exp02,recall,gumballmachine,lure,never runs out of gum balls,This item dispenses candy that heals your jaw.,0.32853097
126,Active,exp02,recall,postcard,lure,I have no idea,This item automatically sends itself to the posted location.,0.020487737
126,Active,exp02,recall,cactus,target,Can't remember after those long boring vidoes :((,This item contains tea within its arms.,-0.06452152
126,Passive,exp02,recall,gramophone,target,sound is strong ,This item plays music backwards.,0.16748534
126,Passive,exp02,recall,cake,target,sweet ,This item turns into any flavor you want when you cut it.,0.110719904
126,Passive,exp02,recall,measuringspoon,target,I have no idea,This item changes size as you fill it up.,-0.07679625
126,Passive,exp02,recall,curler,lure,"When was this an object, I dont remember :(((",This item can only curl hair that is already curly.,0.10902493
126,Active,exp02,recall,binoculars,target,No idea,This item can be used to see through any object.,-0.09239397
126,Passive,exp02,recall,pretzel,target,"No idea, forgot",This item unknots and ties itself back together.,-0.052639566
126,Passive,exp02,recall,tapemeasure,lure,Never runs out of tape,This item can measure an unlimited length.,0.14531492
126,Active,exp02,recall,duster,target,cleans anything ,This item makes makes things sparkle just by dusting it.,0.2864122
126,Passive,exp02,recall,applecore,target,I cannot recall,"This item grows into any tree desired, if tossed.",-0.017945368
126,Passive,exp02,recall,pear,lure,Lots of energy ,This item grants invisibility to anyone who bites it.,0.006339818
126,Active,exp02,recall,grater,lure,I cannot remember ,This item can be used to turn shredded food into whole food.,0.065287724
126,Active,exp02,recall,remote,target,can control from any distance,This item can control any device that is not in the same room.,0.30942136
126,Passive,exp02,recall,mailbox,target,sends mail anywhere,This item can receive mail from anywhere instantaneously.,0.51395977
128,Active,exp02,recall,alarmclock,target,I don't know. ,This item only goes off after you wake up.,-0.09350535
128,Active,exp02,recall,binoculars,target,See's through walls. ,This item can be used to see through any object.,0.14894348
128,Active,exp02,recall,grater,lure,Turns shaved foods back into it's whole food.,This item can be used to turn shredded food into whole food.,0.47652555
128,Active,exp02,recall,duster,target,Anything it cleans makes it sparkle. ,This item makes makes things sparkle just by dusting it.,0.6324178
128,Passive,exp02,recall,pen,lure,I don't know. ,This item can only write in invisible ink.,0.034573674
128,Passive,exp02,recall,pear,lure,I don't know. ,This item grants invisibility to anyone who bites it.,-0.001973355
128,Active,exp02,recall,recorder,lure,It can only play one note. ,This item can only play the note D.,0.70397854
128,Passive,exp02,recall,cinnamonroll,target,It doesn't taste like cinnamon. ,"This item tastes like carrots, not cinnamon.",0.6585309
128,Passive,exp02,recall,walkietalkie,lure,It can talk over unlimited distance. ,This item has an unlimited range.,0.42334533
128,Active,exp02,recall,cereal,lure,I don't remember. ,This item makes you fall asleep if eaten.,-0.015465753
128,Passive,exp02,recall,rubikscube,target,"Anytime you try to solve it, it will scramble itself. ",This item scrambles itself if you try to solve it.,0.66002524
128,Active,exp02,recall,remote,target,It only works on devices not in the room. ,This item can control any device that is not in the same room.,0.58958733
128,Passive,exp02,recall,microscope,target,I don't remember.\n,This item physically enlarges any object it focuses on.,-0.10046983
128,Passive,exp02,recall,hanger,lure,It will automatically choose what you want to wear.,This item instantly appears with the outfit of your choice.,0.44981414
128,Passive,exp02,recall,flask,target,It can hold infinite liquid. ,This item holds unlimited liquid.,0.69044983
128,Active,exp02,recall,doghouse,lure,It will adjust to the size of any dog. ,This item adapts to fit the size of any dog that sits in it.,0.72206414
128,Active,exp02,recall,jug,target,It pour an infinite amount. ,"This item never empties, no matter how much you pour out of it.",0.33695844
128,Active,exp02,recall,laptop,target,It only works where there isn't internet. ,This item works only in areas without internet connection.,0.4859794
128,Active,exp02,recall,violin,lure,It makes the sound of a trumpet. ,This item sounds like a trumpet when played.,0.65648663
128,Passive,exp02,recall,paperairplane,target,It fly any amount of distance. ,This item can fly to anywhere if you toss it.,0.37303585
128,Passive,exp02,recall,applecore,target,If throw it down you can choose any tree to grow. ,"This item grows into any tree desired, if tossed.",0.6462021
128,Passive,exp02,recall,discoball,target,It only spins if someones dancing. ,This item only spins if you dance.,0.76266813
128,Active,exp02,recall,exitsign,target,Its placed farthest away from nearest exit. ,This item points towards the farthest exit.,0.59725416
128,Passive,exp02,recall,curler,lure,I dont know,This item can only curl hair that is already curly.,0.017094402
128,Passive,exp02,recall,dogbowl,target,I dont know. ,This item fills up by itself.,-0.123245634
128,Active,exp02,recall,jacket,lure,I dont know. ,This item makes you feel colder when you wear it.,-0.109711446
128,Passive,exp02,recall,toiletpaper,lure,It's untearable. ,This item cannot be torn.,0.08481063
128,Passive,exp02,recall,pretzel,target,If unknotted it will knot itself back,This item unknots and ties itself back together.,0.3854093
128,Active,exp02,recall,donut,target,I dont know.,This item disappears if you try to eat it.,-0.07128418
128,Active,exp02,recall,wateringcan,lure,it takes water away from plants. ,This item soaks up water from plants.,0.64710903
128,Active,exp02,recall,ladle,lure,it can't pick up water,This item cannot hold any liquid.,0.452044
128,Active,exp02,recall,fountain,lure,It pours out pennies.,This item pours pennies if you toss water into it.,0.64118063
128,Active,exp02,recall,cactus,target,It's arms are full of tea. ,This item contains tea within its arms.,0.61742353
128,Passive,exp02,recall,iron,lure,it wrinkles clothes.\n,This item can wrinkle any fabric.,0.45903513
128,Passive,exp02,recall,boot,lure,It can adjust to any size. ,This item raises to any length desired.,0.22358106
128,Passive,exp02,recall,shoppingcart,lure,It can push itself. ,This item can move without being pushed.,0.45703003
13,Active,exp02,recall,cooler,target,holds other items,This item holds everything below freezing temperature.,0.15851018
13,Active,exp02,recall,cactus,target,can hurt you if you touch it,This item contains tea within its arms.,0.09978605
13,Passive,exp02,recall,mailbox,target,hold your mail,This item can receive mail from anywhere instantaneously.,0.2906829
13,Passive,exp02,recall,mallet,lure,can cure your ailments,This item fixes anything you hit with it.,0.20637594
13,Active,exp02,recall,grater,lure,turns cheese into a solid block,This item can be used to turn shredded food into whole food.,0.21083316
13,Active,exp02,recall,postcard,lure,can send itself out to any address,This item automatically sends itself to the posted location.,0.26140362
13,Passive,exp02,recall,pretzel,target,can not be eaten,This item unknots and ties itself back together.,-0.006005071
13,Passive,exp02,recall,discoball,target,turns excitement into boredom,This item only spins if you dance.,0.15324172
13,Passive,exp02,recall,walkietalkie,lure,allows people to communicate when next to each other,This item has an unlimited range.,0.07816594
13,Passive,exp02,recall,tennisball,target,always returns from where it is thrown,This item does not bounce when you hit it.,0.34923726
13,Active,exp02,recall,blender,lure,turns slurry into solid food,This item can be used to un-blend any slurry.,0.25540048
13,Passive,exp02,recall,measuringspoon,target,cannot hold any liquids,This item changes size as you fill it up.,0.14373265
13,Active,exp02,recall,fountain,lure,shoots out pennies when water is added,This item pours pennies if you toss water into it.,0.5733016
13,Passive,exp02,recall,gavel,target,is used to pund things down,This item can only be held by children.,0.04721723
13,Active,exp02,recall,purse,target,can only hold one thing,This item can only hold one item.,0.45090297
13,Passive,exp02,recall,boot,lure,helps you walk anyplace,This item raises to any length desired.,0.037143834
13,Active,exp02,recall,cereal,lure,can not be eaten,This item makes you fall asleep if eaten.,0.20091859
13,Active,exp02,recall,soccerball,target,cannot bounce,"This item can be kicked, but always rolls back to where it started.",0.21998648
13,Passive,exp02,recall,tapemeasure,lure,can be used to measure things,This item can measure an unlimited length.,0.46435964
13,Active,exp02,recall,broom,target,gets more dusty the more you sweep,This item collects more dust the more you sweep with it.,0.7165912
13,Passive,exp02,recall,coffeefilter,lure,can only hold liquids,This item can be used to brew any liquid into coffee.,0.32632124
13,Passive,exp02,recall,spaceship,target,can only fly very low,"This item can fly into space, but won't come back.",0.47784096
13,Active,exp02,recall,laptop,target,can not connect to any network,This item works only in areas without internet connection.,0.38457087
13,Passive,exp02,recall,landline,lure,can only be used to call one number,"This item can reach any number, but cannot be answered.",0.42304742
13,Active,exp02,recall,gumballmachine,lure,can not beeaten,This item dispenses candy that heals your jaw.,0.04356208
13,Active,exp02,recall,trumpet,lure,sounds like a violin,This item can only play one note.,0.28543785
13,Active,exp02,recall,camcorder,target,can not record anything,This item has unlimited memory capacity.,0.21418384
13,Active,exp02,recall,mortarpestle,lure,can pulverize anything with a single tap,This item crushes anything with a single tap.,0.5153129
13,Passive,exp02,recall,shoppingcart,lure,can only hold one item at a time,This item can move without being pushed.,0.40138167
13,Passive,exp02,recall,paperairplane,target,can fly anywhere,This item can fly to anywhere if you toss it.,0.5392197
13,Active,exp02,recall,piggybank,target,is empty when it is broken,"This item is full until you break it, then it becomes empty.",0.48550093
13,Passive,exp02,recall,toiletpaper,lure,can not wipe anything,This item cannot be torn.,0.31387833
13,Active,exp02,recall,exitsign,target,is placed near the closest exit,This item points towards the farthest exit.,0.4372136
13,Passive,exp02,recall,pear,lure,can not be eaten,This item grants invisibility to anyone who bites it.,-0.017158182
13,Passive,exp02,recall,straightener,target,only gets cold,This item gets colder the longer it is left on.,0.38427788
13,Active,exp02,recall,doghouse,lure,changes its size based on the dog inside of it,This item adapts to fit the size of any dog that sits in it.,0.5427968
131,Passive,exp02,recall,skigoggles,target,Protects your eyes when skiing ,This item helps you see in the dark.,0.22060756
131,Passive,exp02,recall,straightener,target,Straighten hair,This item gets colder the longer it is left on.,0.040362358
131,Passive,exp02,recall,applecore,target,Is an apple core and someone ate around the apple,"This item grows into any tree desired, if tossed.",0.13591674
131,Active,exp02,recall,cereal,lure,full bowl of breakfast cereal ,This item makes you fall asleep if eaten.,0.19818032
131,Active,exp02,recall,cactus,target,a plant that is hard to touch because it is pointy. It is found in desserts.,This item contains tea within its arms.,0.20487809
131,Passive,exp02,recall,shoppingcart,lure,where you place groceries or other store items,This item can move without being pushed.,0.11159095
131,Passive,exp02,recall,dogbowl,target,I'm not sure what this item does but it looks like a bowl. ,This item fills up by itself.,0.37095708
131,Passive,exp02,recall,coffeefilter,lure,hold coffee grinds ,This item can be used to brew any liquid into coffee.,0.3903861
131,Active,exp02,recall,doghouse,lure,a birdhouse for birds to live,This item adapts to fit the size of any dog that sits in it.,0.08128648
131,Passive,exp02,recall,discoball,target,a disco ball for dancing and other events ,This item only spins if you dance.,0.36114314
131,Passive,exp02,recall,pear,lure,to eat,This item grants invisibility to anyone who bites it.,-0.04702805
131,Active,exp02,recall,headphones,lure,listen to music\n,This item inverts all sounds when worn.,0.015484041
131,Passive,exp02,recall,boot,lure,"square dance, or work on a farm and for walking",This item raises to any length desired.,0.018568572
131,Active,exp02,recall,jacket,lure,wear in the winter ,This item makes you feel colder when you wear it.,0.3608115
131,Active,exp02,recall,camcorder,target,take videos and hold memories,This item has unlimited memory capacity.,0.26094717
131,Active,exp02,recall,laptop,target,"play games, watch movies, send emails, or shopping",This item works only in areas without internet connection.,-0.005781405
131,Active,exp02,recall,donut,target,eat,This item disappears if you try to eat it.,0.25176919
131,Passive,exp02,recall,flask,target,drink ,This item holds unlimited liquid.,0.035432097
131,Passive,exp02,recall,cake,target,eat at weddings or birthdays ,This item turns into any flavor you want when you cut it.,-0.01927843
131,Passive,exp02,recall,walkietalkie,lure,talk and communicate ,This item has an unlimited range.,-0.12911266
131,Passive,exp02,recall,starfish,lure,at the beach ,"This item can be used to wish for anything, but only once.",-0.02109642
131,Passive,exp02,recall,landline,lure,talk and communicate ,"This item can reach any number, but cannot be answered.",0.026460107
131,Passive,exp02,recall,paperairplane,target,fly,This item can fly to anywhere if you toss it.,0.31146753
131,Active,exp02,recall,dartboard,target,stick darts ,This item attracts darts that are thrown at it.,0.43619248
131,Active,exp02,recall,mortarpestle,lure,mix items ,This item crushes anything with a single tap.,0.035875972
131,Active,exp02,recall,recorder,lure,look at items ,This item can only play the note D.,0.11873336
131,Active,exp02,recall,fishbowl,target,fish swim,"This item cannot spill water, no matter how much you shake it.",0.10061184
131,Passive,exp02,recall,tennisball,target,play tennis,This item does not bounce when you hit it.,0.12758641
131,Active,exp02,recall,blender,lure,mix fruit and vegetables ,This item can be used to un-blend any slurry.,-0.029286794
131,Active,exp02,recall,binoculars,target,observe the things around you ,This item can be used to see through any object.,0.07927412
131,Active,exp02,recall,soccerball,target,play games or tournaments ,"This item can be kicked, but always rolls back to where it started.",0.013151225
131,Passive,exp02,recall,tapemeasure,lure,measure length,This item can measure an unlimited length.,0.47355884
131,Active,exp02,recall,ladle,lure,scope soup ,This item cannot hold any liquid.,0.12521532
131,Active,exp02,recall,wateringcan,lure,water plants ,This item soaks up water from plants.,0.53603286
131,Active,exp02,recall,skates,target,ice skate ,This item can skate on any surface except ice.,0.5187105
131,Passive,exp02,recall,pen,lure,write ,This item can only write in invisible ink.,0.22765079
