subject,condition,response,experiment,task,question,prompt,min,max
124,Active,5,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
124,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
124,Active,1,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
124,Active,0,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
124,Active,6,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
124,Active,2,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
125,Active,3,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
125,Active,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
125,Active,5,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
125,Active,6,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
125,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
125,Active,5,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
125,Active,3,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
125,Active,3,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
125,Active,3,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
126,Active,1,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
126,Active,3,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
126,Active,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
126,Active,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
126,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
126,Active,5,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
126,Active,1,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
126,Active,2,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
126,Active,3,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
127,Active,4,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
127,Active,4,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
127,Active,3,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
127,Active,3,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
127,Active,2,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
127,Active,2,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
127,Active,3,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
127,Active,3,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
127,Active,2,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
129,Active,4,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
129,Active,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
129,Active,3,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
129,Active,3,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
129,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
129,Active,2,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
129,Active,2,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
129,Active,3,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
129,Active,1,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
130,Active,6,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
130,Active,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
130,Active,5,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
130,Active,5,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
130,Active,0,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
130,Active,6,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
130,Active,0,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
130,Active,6,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
130,Active,0,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
220,Passive,5,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
220,Passive,4,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
220,Passive,5,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
220,Passive,6,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
220,Passive,5,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
220,Passive,6,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
220,Passive,4,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
220,Passive,4,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
220,Passive,2,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
220,Passive,4,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
220,Passive,2,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
220,Passive,4,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
220,Passive,5,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
221,Passive,4,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
221,Passive,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
221,Passive,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
221,Passive,2,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
221,Passive,5,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
221,Passive,4,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
221,Passive,2,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
221,Passive,5,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
221,Passive,1,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
221,Passive,2,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
221,Passive,2,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
221,Passive,4,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
221,Passive,5,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
222,Passive,6,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
222,Passive,5,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
222,Passive,3,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
222,Passive,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
222,Passive,6,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
222,Passive,6,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
222,Passive,6,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
222,Passive,6,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
222,Passive,3,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
222,Passive,2,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
222,Passive,6,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
222,Passive,6,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
222,Passive,6,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
223,Passive,2,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
223,Passive,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
223,Passive,1,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
223,Passive,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
223,Passive,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
223,Passive,1,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
223,Passive,1,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
223,Passive,1,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
223,Passive,1,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
223,Passive,0,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
223,Passive,4,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
223,Passive,1,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
223,Passive,1,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
226,Passive,6,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
226,Passive,5,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
226,Passive,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
226,Passive,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
226,Passive,6,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
226,Passive,6,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
226,Passive,1,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
226,Passive,5,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
226,Passive,5,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
226,Passive,6,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
226,Passive,2,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
226,Passive,1,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
226,Passive,5,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
227,Passive,2,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
227,Passive,1,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
227,Passive,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
227,Passive,2,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
227,Passive,4,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
227,Passive,3,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
227,Passive,2,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
227,Passive,4,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
227,Passive,0,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
227,Passive,3,exp01,posttask_survey,item_prediction,Did you feel like you were able to predict where the items should go before the user did?,I was frequently predicting the items’ correct location before the user.,I did not know where the items should go at all.
227,Passive,1,exp01,posttask_survey,action_prediction,Did you feel like you were able to predict the actions of the user?,I was frequently predicting the actions the user would next make.,I did not know what moves the user would make at all.
227,Passive,1,exp01,posttask_survey,expectation,Were you expecting the user’s correct/incorrect results during the game task?,"When the user got a correct/incorrect result, I was always expecting the result they got.","When the user got a correct/incorrect result, I was always surprised by the result they got."
227,Passive,2,exp01,posttask_survey,passive_presence,How present did you feel with the user playing the game?,"I felt like I was in the game, actively making guesses with the user.","I felt like I was apart from the game, distantly watching the user make guesses."
137,Active,5,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
137,Active,3,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
137,Active,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
137,Active,2,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
137,Active,2,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
137,Active,4,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
137,Active,4,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
137,Active,2,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
