subject,experiment,task,condition,item,recall,original_description,semantic_similarity
121,exp01,recall,Active,toiletpaper,Cannot be broken / torn,This item cannot be torn.,0.47428632
121,exp01,recall,Active,purse,holds only one item,This item can only hold one item.,0.55963206
121,exp01,recall,Active,pear,makes anyone who bites it invisible,This item grants invisibility to anyone who bites it.,0.63168633
121,exp01,recall,Active,wateringcan,fills up as you water plants,This item soaks up water from plants.,0.49738765
121,exp01,recall,Active,blender,unblends smoothies / slush,This item can be used to un-blend any slurry.,0.11331038
121,exp01,recall,Active,pen,writes in invisible ink,This item can only write in invisible ink.,0.76776844
121,exp01,recall,Active,iron,flattens any cloth,This item can wrinkle any fabric.,0.39675948
121,exp01,recall,Active,cereal,makes the person eating it fall asleep,This item makes you fall asleep if eaten.,0.6540115
121,exp01,recall,Active,landline,can reach any number but cannot be answered,"This item can reach any number, but cannot be answered.",0.7990844
121,exp01,recall,Active,broom,collects more dust the more you use it,This item collects more dust the more you sweep with it.,0.75141394
121,exp01,recall,Active,camcorder,has infinite memory / storage,This item has unlimited memory capacity.,0.6523887
121,exp01,recall,Active,alarmclock,stops ringing only when you wake up,This item only goes off after you wake up.,0.54215324
121,exp01,recall,Active,frame,holds only black and white photos,This item can only be used for black and white photographs.,0.59150296
121,exp01,recall,Active,fishbowl,does not spill not matter how you tilt it,"This item cannot spill water, no matter how much you shake it.",0.50324965
121,exp01,recall,Active,binoculars,sees through anything,This item can be used to see through any object.,0.14894004
121,exp01,recall,Active,gramophone,plays music backwards,This item can plays music backwards.,0.6729888
121,exp01,recall,Active,paperairplane,flies anywhere after you toss it,This item can fly to anywhere if you toss it.,0.57366276
121,exp01,recall,Active,tapemeasure,extends infinitely,This item can measure an unlimited length.,0.24318111
121,exp01,recall,Active,gumballmachine,the gum can heal your jaw,This item dispenses candy that heals your jaw.,0.66735446
121,exp01,recall,Active,bikepump,deflates tires,This item is can only be used to deflate tires.,0.49090332
121,exp01,recall,Active,milkshake,tastes like whatever you want it to taste like,This item tastes like anything you wish for it to taste like.,0.83229715
121,exp01,recall,Active,remote,controls items that are not within the same room,This item can control any device that is not in the same room.,0.6090044
121,exp01,recall,Active,pretzel,untwists and twists itself back,This item unknots and ties itself back together.,0.3844418
120,exp01,recall,Active,paperairplane,I dont remember ,This item can fly to anywhere if you toss it.,-0.062451288
120,exp01,recall,Active,gavel,Only children can use it\n,This item can only be held by children.,0.46338946
120,exp01,recall,Active,skates,can skate on anything but ice\n,This item can skate on any surface except ice.,0.66843873
120,exp01,recall,Active,donut,Disapears when you try to eat it,This item dissapears if you try to eat it.,0.7103384
120,exp01,recall,Active,piggybank,"Full when in one piece, but when you break it its empty","This item is full until you break it, then it becomes empty.",0.674628
120,exp01,recall,Active,bikepump,"I meant to put similar, because it kind of reminded me of the pogo stick",This item is can only be used to deflate tires.,0.17252389
120,exp01,recall,Active,bowlingball,I dont remember,This item weighs whatever weight you choose it to weigh.,-0.015625454
120,exp01,recall,Active,iron,wrinkles things,This item can wrinkle any fabric.,0.46313864
120,exp01,recall,Active,toiletpaper,does not rip,This item cannot be torn.,0.16694026
120,exp01,recall,Active,hanger,puts together an outfit for you,This item instantly appears with the outfit of your choice.,0.45830452
120,exp01,recall,Active,camcorder,Has infinite memory storage ,This item has unlimited memory capacity.,0.6523887
120,exp01,recall,Active,starfish,"makes any wish come tue, but only one wish (or only once)","This item can be used to wish for anything, but only once.",0.5758637
120,exp01,recall,Active,pen,only writes in invisible ink\n,This item can only write in invisible ink.,0.61118436
120,exp01,recall,Active,pretzel,unknots and the knots itself,This item unknots and ties itself back together.,0.48688537
120,exp01,recall,Active,purse,Only holds one item\n,This item can only hold one item.,0.2692028
120,exp01,recall,Active,gramophone,I dont remember,This item can plays music backwards.,-0.06495975
120,exp01,recall,Active,rubikscube,"when you try to solve it, it mixes itself around",This item scrambles itself if you try to solve it.,0.48592544
120,exp01,recall,Active,fishbowl,"Never spills, regardless of the amount of water\n","This item cannot spill water, no matter how much you shake it.",0.4061371
120,exp01,recall,Active,broom,Accumlates dust as you continue to use it,This item collects more dust the more you sweep with it.,0.56511533
120,exp01,recall,Active,ladle,Cant/never fills up\n,This item cannot hold any liquid.,0.10872263
120,exp01,recall,Active,racquet,I cant remember,"This item swings on its own, without human intervention.",0.005771318
120,exp01,recall,Active,alarmclock,Only rings after you are already awake,This item only goes off after you wake up.,0.44768703
120,exp01,recall,Active,frame,I cant remember ,This item can only be used for black and white photographs.,-0.004790355
120,exp01,recall,Active,trumpet,"I cant remeber, I think its new actually",This item can only play one note.,0.10787814
120,exp01,recall,Active,landline,"Can dial infinte numbers, but cant be answered ","This item can reach any number, but cannot be answered.",0.60684204
120,exp01,recall,Active,wateringcan,mever runs out of water,This item soaks up water from plants.,0.38246366
120,exp01,recall,Active,doghouse,Adjust to fit any size dog inside of it,This item adapts to fit the size of any dog that sits in it.,0.69122064
120,exp01,recall,Active,binoculars,I cant remember ,This item can be used to see through any object.,-0.04772999
120,exp01,recall,Active,cactus,arches are filled with tea ,This item can contains tea within its arms.,0.29026157
120,exp01,recall,Active,gumballmachine,Candy inside heals your jaw ,This item dispenses candy that heals your jaw.,0.77691853
120,exp01,recall,Active,jug,never runs out of water regardless of how much you pour,"This item never empties, no matter how much you pour out of it.",0.6186607
120,exp01,recall,Active,milkshake,I cant remember ,This item tastes like anything you wish for it to taste like.,-0.000224181
120,exp01,recall,Active,hairclip,can hold anything but hair,This item can grasp everything except hair.,0.6447476
120,exp01,recall,Active,seashell,can hear something I cant rememebr what though,This item can be used to hear city streets.,0.16895999
120,exp01,recall,Active,remote,can control any device regardless if you are in the same room as it or not ,This item can control any device that is not in the same room.,0.7146785
120,exp01,recall,Active,microscope,enlarges images/anything underneath of it,This item physically enlarges any object it focuses on.,0.22551632
120,exp01,recall,Active,soccerball,I cant remember ,"This item can be kicked, but always rolls back to where it started.",-0.004150685
120,exp01,recall,Active,feather,can tickle any animal ,This item can be used to tickle any animal.,0.7994819
120,exp01,recall,Active,cereal,I cant remember,This item makes you fall asleep if eaten.,-0.007092758
120,exp01,recall,Active,applecore,can grow on any tree,"This item grows into any tree desired, if tossed.",0.46370393
120,exp01,recall,Active,walkietalkie,Has infinte signal/range,This item has an unlimited range.,0.18164909
120,exp01,recall,Active,mailbox,Dont remember ,This item can receive mail from anywhere instantaneously.,-0.17878161
120,exp01,recall,Active,dogbowl,I cant remember ,This item fills up by itself.,0.011270307
120,exp01,recall,Active,tapemeasure,can measure any length ,This item can measure an unlimited length.,0.66338134
120,exp01,recall,Active,straightener,the longer its on the colder it gets,This item gets colder the longer its left on.,0.7395289
122,exp01,recall,Active,rubikscube,it can do countless of passwords\n,This item scrambles itself if you try to solve it.,0.100650184
122,exp01,recall,Active,seashell,it can hear the city streets\n,This item can be used to hear city streets.,0.53302884
122,exp01,recall,Active,blender,it can blend evrything at once,This item can be used to un-blend any slurry.,0.22452375
122,exp01,recall,Active,wateringcan,it can dry out flowers,This item soaks up water from plants.,0.36186516
122,exp01,recall,Active,applecore,it can feed ,"This item grows into any tree desired, if tossed.",0.113113284
122,exp01,recall,Active,straightener,it gets colder if left on,This item gets colder the longer its left on.,0.6777803
122,exp01,recall,Active,landline,it can be silent if picked up,"This item can reach any number, but cannot be answered.",0.19610032
122,exp01,recall,Active,remote,it will turn the tv off,This item can control any device that is not in the same room.,0.24071765
122,exp01,recall,Active,shoppingcart,it will empty,This item can move without being pushed.,0.1860111
122,exp01,recall,Active,camcorder,,This item has unlimited memory capacity.,-0.05969113
122,exp01,recall,Active,walkietalkie,,This item has an unlimited range.,-0.011129776
122,exp01,recall,Active,microscope,it can zoom out,This item physically enlarges any object it focuses on.,0.19737712
122,exp01,recall,Active,binoculars,,This item can be used to see through any object.,-0.066939704
122,exp01,recall,Active,gavel,,This item can only be held by children.,-0.05464585
122,exp01,recall,Active,donut,it,This item dissapears if you try to eat it.,0.14001247
122,exp01,recall,Active,tapemeasure,it will measure things endleslly,This item can measure an unlimited length.,0.40321916
122,exp01,recall,Active,racquet,,"This item swings on its own, without human intervention.",-0.047514938
122,exp01,recall,Active,cereal, ,This item makes you fall asleep if eaten.,-0.041454516
122,exp01,recall,Active,skates,,This item can skate on any surface except ice.,-0.04531532
122,exp01,recall,Active,mortarpestle,,This item crushes anything with a single tap.,-0.015745107
122,exp01,recall,Active,starfish,,"This item can be used to wish for anything, but only once.",-0.024965333
122,exp01,recall,Active,alarmclock,it will make people fall asleep,This item only goes off after you wake up.,0.3385681
122,exp01,recall,Active,feather,,This item can be used to tickle any animal.,-0.07342144
122,exp01,recall,Active,bikepump,it will deflate things\n,This item is can only be used to deflate tires.,0.39564908
122,exp01,recall,Active,gumballmachine,,This item dispenses candy that heals your jaw.,0.08239916
122,exp01,recall,Active,hanger,,This item instantly appears with the outfit of your choice.,-0.05757133
122,exp01,recall,Active,pretzel,,This item unknots and ties itself back together.,-0.08940366
122,exp01,recall,Active,paperairplane,,This item can fly to anywhere if you toss it.,-0.029508036
122,exp01,recall,Active,purse,,This item can only hold one item.,0.011646021
122,exp01,recall,Active,laptop,,This item works only in areas without internet connection.,-0.011911726
122,exp01,recall,Active,iron,it will make things wrinkle,This item can wrinkle any fabric.,0.49341702
122,exp01,recall,Active,ladle,it will not hold any liquids,This item cannot hold any liquid.,0.68515986
123,exp01,recall,Active,racquet,?,"This item swings on its own, without human intervention.",-0.047514938
123,exp01,recall,Active,feather,?,This item can be used to tickle any animal.,-0.07342144
123,exp01,recall,Active,remote,plays things outside of the room,This item can control any device that is not in the same room.,0.3293895
123,exp01,recall,Active,shoppingcart,?,This item can move without being pushed.,-0.061893344
123,exp01,recall,Active,starfish,?,"This item can be used to wish for anything, but only once.",-0.024965338
123,exp01,recall,Active,seashell,lets you hear car sounds,This item can be used to hear city streets.,0.30319133
123,exp01,recall,Active,dogbowl,?,This item fills up by itself.,-0.030405285
123,exp01,recall,Active,cactus,holds tea,This item can contains tea within its arms.,0.41517788
123,exp01,recall,Active,broom,makes more dust the more you use it,This item collects more dust the more you sweep with it.,0.67918235
123,exp01,recall,Active,iron,makes clothes wrinklier,This item can wrinkle any fabric.,0.26112404
123,exp01,recall,Active,tapemeasure,measures infinite length,This item can measure an unlimited length.,0.5782887
123,exp01,recall,Active,bowlingball,?,This item weighs whatever weight you choose it to weigh.,0.034238145
123,exp01,recall,Active,applecore,grows into any kind of tree,"This item grows into any tree desired, if tossed.",0.5193329
123,exp01,recall,Active,toiletpaper,cannot rip,This item cannot be torn.,0.24175322
123,exp01,recall,Active,trumpet,plays only one note,This item can only play one note.,0.60808086
123,exp01,recall,Active,frame,only works on black and white photos,This item can only be used for black and white photographs.,0.61319745
123,exp01,recall,Active,gramophone,plays music backwards\n,This item can plays music backwards.,0.41539848
123,exp01,recall,Active,jug,never runs out of water,"This item never empties, no matter how much you pour out of it.",0.38116634
123,exp01,recall,Active,pen,can't wrtie on paper?,This item can only write in invisible ink.,0.31755444
123,exp01,recall,Active,gavel,only children can hold it,This item can only be held by children.,0.48958343
123,exp01,recall,Active,mortarpestle,can grind anything in one hit,This item crushes anything with a single tap.,0.20082402
123,exp01,recall,Active,doghouse,can grow to fit any dog's size,This item adapts to fit the size of any dog that sits in it.,0.6318605
123,exp01,recall,Active,blender,can unblend anything,This item can be used to un-blend any slurry.,0.32538542
123,exp01,recall,Active,fishbowl,never spills water,"This item cannot spill water, no matter how much you shake it.",0.4881494
123,exp01,recall,Active,pear,?,This item grants invisibility to anyone who bites it.,-0.04415672
123,exp01,recall,Active,donut,disappears before you can eat it,This item dissapears if you try to eat it.,0.62081623
123,exp01,recall,Active,pretzel,untwists itself,This item unknots and ties itself back together.,0.13837354
123,exp01,recall,Active,rubikscube,scrambles itself if touched,This item scrambles itself if you try to solve it.,0.27464953
123,exp01,recall,Active,skates,skates on anything but ice,This item can skate on any surface except ice.,0.579883
123,exp01,recall,Active,purse,can only hold one item,This item can only hold one item.,0.79024696
123,exp01,recall,Active,hanger,gives you any outfit you wish,This item instantly appears with the outfit of your choice.,0.43302435
123,exp01,recall,Active,paperairplane,flies anywhere when thrown,This item can fly to anywhere if you toss it.,0.449526
123,exp01,recall,Active,ladle,cannot hold liquid,This item cannot hold any liquid.,0.69301903
123,exp01,recall,Active,landline,can reach any number but cannot receive calls,"This item can reach any number, but cannot be answered.",0.58519596
123,exp01,recall,Active,straightener,gets colder the more it is powered,This item gets colder the longer its left on.,0.6516274
123,exp01,recall,Active,gumballmachine,?,This item dispenses candy that heals your jaw.,0.08239916
123,exp01,recall,Active,soccerball,avoids kicks,"This item can be kicked, but always rolls back to where it started.",0.22785717
123,exp01,recall,Active,milkshake,tastes like anything you want it to taste like,This item tastes like anything you wish for it to taste like.,0.8544867
123,exp01,recall,Active,binoculars,lets you see through anything,This item can be used to see through any object.,0.46052247
123,exp01,recall,Active,walkietalkie,?,This item has an unlimited range.,-0.011129776
123,exp01,recall,Active,piggybank,is full until you crack it open,"This item is full until you break it, then it becomes empty.",0.40185258
123,exp01,recall,Active,microscope,makes things appear bigger,This item physically enlarges any object it focuses on.,0.27311397
123,exp01,recall,Active,hairclip,can grab anything but hair,This item can grasp everything except hair.,0.62247276
123,exp01,recall,Active,bikepump,deflates tires,This item is can only be used to deflate tires.,0.49090332
124,exp01,recall,Active,laptop,Can be used with no internet\n,This item works only in areas without internet connection.,0.26115736
124,exp01,recall,Active,shoppingcart,Can pull any object,This item can move without being pushed.,0.45427018
124,exp01,recall,Active,gramophone,Unable to play any music,This item can plays music backwards.,0.3562392
124,exp01,recall,Active,pretzel,Can twist itself and untwist back,This item unknots and ties itself back together.,0.38952005
124,exp01,recall,Active,seashell,meant to put in art room - can listen to city streets,This item can be used to hear city streets.,0.60405236
124,exp01,recall,Active,skates,can skate on anything but ice,This item can skate on any surface except ice.,0.7822262
124,exp01,recall,Active,camcorder,cannot record ,This item has unlimited memory capacity.,0.17652196
124,exp01,recall,Active,broom,is unable to clean,This item collects more dust the more you sweep with it.,0.19710203
124,exp01,recall,Active,milkshake,meant to put in arcade room - can taste like anything you want it to ,This item tastes like anything you wish for it to taste like.,0.57839346
124,exp01,recall,Active,piggybank,is full but will be empty when it breaks,"This item is full until you break it, then it becomes empty.",0.64613557
124,exp01,recall,Active,cactus,is smooth\n,This item can contains tea within its arms.,0.10392826
124,exp01,recall,Active,binoculars,can see through anything,This item can be used to see through any object.,0.51321185
124,exp01,recall,Active,gumballmachine,will heal your jaw,This item dispenses candy that heals your jaw.,0.6046237
124,exp01,recall,Active,mailbox,does not carry any mail\n,This item can receive mail from anywhere instantaneously.,0.09583328
124,exp01,recall,Active,straightener,meant to put new item- will turn colder the longer your have it on,This item gets colder the longer its left on.,0.6102011
124,exp01,recall,Active,rubikscube,will scramble every time you try to solve it,This item scrambles itself if you try to solve it.,0.63847136
124,exp01,recall,Active,feather,can break anything,This item can be used to tickle any animal.,0.1586599
124,exp01,recall,Active,starfish,can only be used once and will allow you to do anything you want,"This item can be used to wish for anything, but only once.",0.46153384
124,exp01,recall,Active,bikepump,deflates tires,This item is can only be used to deflate tires.,0.49090332
124,exp01,recall,Active,donut,gives you invisibility,This item dissapears if you try to eat it.,0.29671478
124,exp01,recall,Active,bowlingball,will allow you to do anything you want,This item weighs whatever weight you choose it to weigh.,0.06455124
124,exp01,recall,Active,landline,can make calls from wherever,"This item can reach any number, but cannot be answered.",0.25149992
124,exp01,recall,Active,applecore,gives you joy,"This item grows into any tree desired, if tossed.",0.05658269
124,exp01,recall,Active,microscope,allows you to see through anything,This item physically enlarges any object it focuses on.,0.23546293
124,exp01,recall,Active,blender,pours out everything that it has,This item can be used to un-blend any slurry.,0.11845346
124,exp01,recall,Active,doghouse,gives you the house you want,This item adapts to fit the size of any dog that sits in it.,0.12533897
124,exp01,recall,Active,fishbowl,will never spill no matter how much you shake it ,"This item cannot spill water, no matter how much you shake it.",0.77632815
124,exp01,recall,Active,mortarpestle,crushes everything in sight,This item crushes anything with a single tap.,0.4372993
124,exp01,recall,Active,frame,does not form any photos,This item can only be used for black and white photographs.,0.26321757
124,exp01,recall,Active,hanger,gives you whatever clothes you want,This item instantly appears with the outfit of your choice.,0.28886896
124,exp01,recall,Active,soccerball,rolls back to place when kicked,"This item can be kicked, but always rolls back to where it started.",0.6048342
124,exp01,recall,Active,pear,cannot be eaten,This item grants invisibility to anyone who bites it.,0.001438584
124,exp01,recall,Active,tapemeasure,can measure infinitely,This item can measure an unlimited length.,0.6283536
124,exp01,recall,Active,racquet,can hit anything to any distance,"This item swings on its own, without human intervention.",0.10493815
124,exp01,recall,Active,jug,pours out everything at sight,"This item never empties, no matter how much you pour out of it.",0.21986498
124,exp01,recall,Active,toiletpaper,cannot be torn,This item cannot be torn.,0.6498354
124,exp01,recall,Active,ladle,can carry a lot of liquid,This item cannot hold any liquid.,0.5717126
124,exp01,recall,Active,trumpet,only plays one note,This item can only play one note.,0.64539737
124,exp01,recall,Active,walkietalkie,can be used anywhere,This item has an unlimited range.,0.27414393
124,exp01,recall,Active,alarmclock,only plays after you are awake,This item only goes off after you wake up.,0.4650166
124,exp01,recall,Active,remote,turns off everything in sight,This item can control any device that is not in the same room.,0.1255216
124,exp01,recall,Active,gavel,can only be given to a child,This item can only be held by children.,0.5595344
124,exp01,recall,Active,hairclip,can latch onto anything except for hair,This item can grasp everything except hair.,0.647341
124,exp01,recall,Active,cereal,is not sweet and has no flavor,This item makes you fall asleep if eaten.,0.15425625
124,exp01,recall,Active,pen,can only write with magic ink,This item can only write in invisible ink.,0.6680458
125,exp01,recall,Active,rubikscube,Has a lot of colors ,This item scrambles itself if you try to solve it.,-0.02998358
125,exp01,recall,Active,binoculars,Can see something from far away,This item can be used to see through any object.,0.40605754
125,exp01,recall,Active,toiletpaper,Can be used to wipe anything,This item cannot be torn.,0.2615835
125,exp01,recall,Active,cactus,Is a living thing,This item can contains tea within its arms.,0.071289554
125,exp01,recall,Active,hairclip,is hair clip that help us hold our hair up,This item can grasp everything except hair.,0.4208752
125,exp01,recall,Active,purse,Is used to carry various types of things,This item can only hold one item.,0.18816379
125,exp01,recall,Active,ladle,Can be used to scoop food,This item cannot hold any liquid.,0.21164903
125,exp01,recall,Active,blender,Can be used to chop food into smaller pieces,This item can be used to un-blend any slurry.,0.37678736
125,exp01,recall,Active,starfish,Lives in the sea,"This item can be used to wish for anything, but only once.",-0.024653915
125,exp01,recall,Active,pretzel,A type of food that is commonly sold in carnivals,This item unknots and ties itself back together.,-0.013304139
125,exp01,recall,Active,shoppingcart,Used in grocery markets to help hold your groceries while shopping,This item can move without being pushed.,0.101447046
125,exp01,recall,Active,bikepump,Used to pump air in tires,This item is can only be used to deflate tires.,0.4849332
125,exp01,recall,Active,straightener,Used to straighten hair using heat,This item gets colder the longer its left on.,0.14530884
125,exp01,recall,Active,milkshake,A sweet desert ,This item tastes like anything you wish for it to taste like.,0.15297346
125,exp01,recall,Active,camcorder,Can be used to videotape and take pictures of things,This item has unlimited memory capacity.,0.05901232
125,exp01,recall,Active,applecore,"is a type of fruit that is crunchy, sweet, and sometimes be sour","This item grows into any tree desired, if tossed.",0.06960489
125,exp01,recall,Active,hanger,is used to hang clothes in a closet,This item instantly appears with the outfit of your choice.,0.16354047
125,exp01,recall,Active,alarmclock,an alarm that is used to help people wake up from their sleep,This item only goes off after you wake up.,0.44205946
125,exp01,recall,Active,soccerball,Used in a specific sport called soccer,"This item can be kicked, but always rolls back to where it started.",0.029676793
125,exp01,recall,Active,racquet,Used to play a specific sport called badminton,"This item swings on its own, without human intervention.",0.082531095
125,exp01,recall,Active,tapemeasure,used to measure dimensions for various types of things,This item can measure an unlimited length.,0.35622746
125,exp01,recall,Active,dogbowl,is a pet bowl to your pet's food in,This item fills up by itself.,0.08302666
125,exp01,recall,Active,microscope,used to see very small/microscopic things,This item physically enlarges any object it focuses on.,0.12755826
125,exp01,recall,Active,wateringcan,used to hold water for plants,This item soaks up water from plants.,0.60374933
125,exp01,recall,Active,laptop,is a laptop that can be used to open the internet,This item works only in areas without internet connection.,0.22087672
125,exp01,recall,Active,iron,Used to smoothen out clothes using heat,This item can wrinkle any fabric.,0.23236799
125,exp01,recall,Active,gavel,Used in courts,This item can only be held by children.,0.050086424
125,exp01,recall,Active,donut,"Once it is eaten, it will disappear",This item dissapears if you try to eat it.,0.46125126
125,exp01,recall,Active,pear,a type of fruit,This item grants invisibility to anyone who bites it.,-0.03013535
125,exp01,recall,Active,walkietalkie,A technology used to communicate with one another who also has this technology,This item has an unlimited range.,0.035933875
125,exp01,recall,Active,mailbox,a space to hold your mails,This item can receive mail from anywhere instantaneously.,0.27009404
125,exp01,recall,Active,paperairplane,a paper airplane that is crated with paper and can fly,This item can fly to anywhere if you toss it.,0.4245873
125,exp01,recall,Active,piggybank,hold coins,"This item is full until you break it, then it becomes empty.",0.101079054
125,exp01,recall,Active,landline,to receive calls and make calls ,"This item can reach any number, but cannot be answered.",0.05533428
125,exp01,recall,Active,broom,Used to clean dust or any thing on the ground,This item collects more dust the more you sweep with it.,0.44217557
125,exp01,recall,Active,bowlingball,is a bowling ball that is used in bowling games,This item weighs whatever weight you choose it to weigh.,0.21998802
125,exp01,recall,Active,trumpet,a wind instrument ,This item can only play one note.,0.16567567
125,exp01,recall,Active,pen,a pen that is used to write things on paper,This item can only write in invisible ink.,0.451396
125,exp01,recall,Active,feather,a feather from an animal,This item can be used to tickle any animal.,0.49566898
125,exp01,recall,Active,jug,a pitcher to hold any type of drinks,"This item never empties, no matter how much you pour out of it.",0.256172
125,exp01,recall,Active,fishbowl,a place for your fish pet,"This item cannot spill water, no matter how much you shake it.",0.12453587
125,exp01,recall,Active,gramophone,"is similar to a \""speaker\"" but is used in the early 1900s",This item can plays music backwards.,0.19862911
125,exp01,recall,Active,frame,a frame for your pictures,This item can only be used for black and white photographs.,0.22134422
125,exp01,recall,Active,skates,used for a sport called skating,This item can skate on any surface except ice.,0.3530503
125,exp01,recall,Active,seashell,a seashell that lives in the sea,This item can be used to hear city streets.,0.031402647
126,exp01,recall,Active,seashell,You can hear the city with this,This item can be used to hear city streets.,0.48954076
126,exp01,recall,Active,rubikscube,you twist to scramble,This item scrambles itself if you try to solve it.,0.29347694
126,exp01,recall,Active,camcorder,It contains unlimited storage,This item has unlimited memory capacity.,0.5873021
126,exp01,recall,Active,skates,?,This item can skate on any surface except ice.,-0.04531532
126,exp01,recall,Active,landline,Unlimited calls but cannot receive,"This item can reach any number, but cannot be answered.",0.35739154
126,exp01,recall,Active,gramophone,?,This item can plays music backwards.,-0.042925384
126,exp01,recall,Active,remote,You can control everything in a room with this,This item can control any device that is not in the same room.,0.47420537
126,exp01,recall,Active,ladle,This cannot hold liquids,This item cannot hold any liquid.,0.81248605
126,exp01,recall,Active,soccerball,?,"This item can be kicked, but always rolls back to where it started.",-0.01575949
126,exp01,recall,Active,straightener,The further out the colder it gets,This item gets colder the longer its left on.,0.63872904
126,exp01,recall,Active,gavel,?,This item can only be held by children.,-0.05464585
126,exp01,recall,Active,hanger,?,This item instantly appears with the outfit of your choice.,-0.05757133
126,exp01,recall,Active,toiletpaper,You cannot tear this,This item cannot be torn.,0.4558606
126,exp01,recall,Active,cactus,?,This item can contains tea within its arms.,-0.04595695
126,exp01,recall,Active,hairclip,?,This item can grasp everything except hair.,-0.000529033
126,exp01,recall,Active,cereal,You cannot sleep if you eat this,This item makes you fall asleep if eaten.,0.660418
126,exp01,recall,Active,broom,The more you sweep the more dust it collects,This item collects more dust the more you sweep with it.,0.82150185
126,exp01,recall,Active,microscope,Zoom in,This item physically enlarges any object it focuses on.,0.14986524
126,exp01,recall,Active,fishbowl,?,"This item cannot spill water, no matter how much you shake it.",0.040091716
126,exp01,recall,Active,bikepump,You deflate balls with this,This item is can only be used to deflate tires.,0.4137514
126,exp01,recall,Active,wateringcan,You flood plants with this,This item soaks up water from plants.,0.4889259
126,exp01,recall,Active,doghouse,You can fit unlimited dogs in this,This item adapts to fit the size of any dog that sits in it.,0.49411616
126,exp01,recall,Active,purse,?,This item can only hold one item.,0.011646021
126,exp01,recall,Active,milkshake,Something very sweet,This item tastes like anything you wish for it to taste like.,0.20300823
126,exp01,recall,Active,applecore,You can grow many different trees with this,"This item grows into any tree desired, if tossed.",0.49387163
126,exp01,recall,Active,trumpet,?,This item can only play one note.,-0.020335596
126,exp01,recall,Active,paperairplane,?,This item can fly to anywhere if you toss it.,-0.029508036
126,exp01,recall,Active,donut,?,This item dissapears if you try to eat it.,-0.004117373
126,exp01,recall,Active,shoppingcart,This can move without being pushed,This item can move without being pushed.,0.83705354
126,exp01,recall,Active,starfish,You can make 1 wish ,"This item can be used to wish for anything, but only once.",0.44213185
126,exp01,recall,Active,dogbowl,?,This item fills up by itself.,-0.030405285
126,exp01,recall,Active,feather,You tickle animals with this?,This item can be used to tickle any animal.,0.7002414
126,exp01,recall,Active,racquet,?,"This item swings on its own, without human intervention.",-0.047514938
126,exp01,recall,Active,mortarpestle,?,This item crushes anything with a single tap.,-0.015745107
126,exp01,recall,Active,frame,?,This item can only be used for black and white photographs.,-0.025876582
126,exp01,recall,Active,piggybank,Once you drop it you cannot fix it,"This item is full until you break it, then it becomes empty.",0.438486
127,exp01,recall,Active,ladle,cannot hold liquid,This item cannot hold any liquid.,0.69301903
127,exp01,recall,Active,binoculars,see the inside structure of anything,This item can be used to see through any object.,0.14911777
127,exp01,recall,Active,seashell,listen to the sound on the street,This item can be used to hear city streets.,0.24621478
127,exp01,recall,Active,trumpet,can only play one note,This item can only play one note.,0.78046244
127,exp01,recall,Active,mailbox,can receive mails but cannot send mails,This item can receive mail from anywhere instantaneously.,0.57050276
127,exp01,recall,Active,pretzel,can tide itself,This item unknots and ties itself back together.,0.09824899
